---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----Paintjobs--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Icon Skin Beyond The Circuit.png 	Beyond the Circuit 	
Credit.png 4950 	Credits
Jadiz 25 	Jadiz
Enor Pearl 70 	Enor Pearl
	
Credit.png 4700 	Credits
Croppa 30 	Croppa
Magnite 75 	Magnite
	
Credit.png 4750 	Credits
Croppa 25 	Croppa
Bismor 75 	Bismor
	
Credit.png 4500 	Credits
Croppa 75 	Croppa
Magnite 25 	Magnite
Icon Skin Dark Descent.png 	Dark Descent 	
Credit.png 8850 	Credits
Croppa 150 	Croppa
Jadiz 100 	Jadiz
Enor Pearl 40 	Enor Pearl
	
Credit.png 6800 	Credits
Jadiz 85 	Jadiz
Magnite 150 	Magnite
Umanite 55 	Umanite
	
Credit.png 8500 	Credits
Jadiz 90 	Jadiz
Magnite 45 	Magnite
Umanite 145 	Umanite
	
Credit.png 6150 	Credits
Magnite 90 	Magnite
Umanite 55 	Umanite
Bismor 150 	Bismor
Icon Skin Desert Ranger.png 	Desert Ranger 	
Credit.png 6700 	Credits
Magnite 55 	Magnite
Enor Pearl 145 	Enor Pearl
Bismor 100 	Bismor
	
Credit.png 8500 	Credits
Magnite 50 	Magnite
Umanite 85 	Umanite
Enor Pearl 160 	Enor Pearl
	
Credit.png 8150 	Credits
Croppa 45 	Croppa
Jadiz 90 	Jadiz
Bismor 155 	Bismor
	
Credit.png 6650 	Credits
Croppa 85 	Croppa
Magnite 40 	Magnite
Bismor 155 	Bismor
Icon Skin Digital Danger.png 	Digital Danger 	
Credit.png 4500 	Credits
Jadiz 30 	Jadiz
Umanite 80 	Umanite
	
Credit.png 4750 	Credits
Umanite 70 	Umanite
Bismor 30 	Bismor
	
Credit.png 4450 	Credits
Umanite 70 	Umanite
Enor Pearl 30 	Enor Pearl
	
Credit.png 4900 	Credits
Croppa 65 	Croppa
Enor Pearl 35 	Enor Pearl
Icon Skin Ghostly Pale.png 	Ghostly Pale 	
Credit.png 4450 	Credits
Croppa 75 	Croppa
Magnite 30 	Magnite
	
Credit.png 4450 	Credits
Magnite 75 	Magnite
Bismor 35 	Bismor
	
Credit.png 4950 	Credits
Magnite 70 	Magnite
Umanite 35 	Umanite
	
Credit.png 4050 	Credits
Magnite 70 	Magnite
Enor Pearl 35 	Enor Pearl
Icon Skin Jungle Raid.png 	Jungle Raid 	
Credit.png 6750 	Credits
Croppa 85 	Croppa
Umanite 50 	Umanite
Enor Pearl 145 	Enor Pearl
	
Credit.png 6200 	Credits
Croppa 145 	Croppa
Magnite 45 	Magnite
Enor Pearl 90 	Enor Pearl
	
Credit.png 8750 	Credits
Croppa 155 	Croppa
Umanite 45 	Umanite
Enor Pearl 90 	Enor Pearl
	
Credit.png 6850 	Credits
Jadiz 50 	Jadiz
Enor Pearl 150 	Enor Pearl
Bismor 95 	Bismor
Icon Skin Metallic Vintage.png 	Metallic Vintage 	
Credit.png 5000 	Credits
Croppa 30 	Croppa
Bismor 70 	Bismor
	
Credit.png 4350 	Credits
Jadiz 25 	Jadiz
Magnite 75 	Magnite
	
Credit.png 4700 	Credits
Umanite 30 	Umanite
Enor Pearl 65 	Enor Pearl
	
Credit.png 4600 	Credits
Croppa 70 	Croppa
Magnite 25 	Magnite
Icon Skin Mint Assault.png 	Mint Assault 	
Credit.png 4900 	Credits
Croppa 30 	Croppa
Magnite 60 	Magnite
	
Credit.png 4700 	Credits
Jadiz 30 	Jadiz
Magnite 65 	Magnite
	
Credit.png 4100 	Credits
Magnite 80 	Magnite
Bismor 30 	Bismor
	
Credit.png 4300 	Credits
Croppa 75 	Croppa
Jadiz 25 	Jadiz
Icon Skin Primal Blood.png 	Primal Blood 	
Credit.png 4850 	Credits
Croppa 30 	Croppa
Magnite 70 	Magnite
	
Credit.png 4400 	Credits
Croppa 30 	Croppa
Umanite 60 	Umanite
	
Credit.png 4850 	Credits
Croppa 60 	Croppa
Bismor 25 	Bismor
	
Credit.png 4100 	Credits
Croppa 65 	Croppa
Umanite 25 	Umanite
Icon Skin Tool Of Destruction.png 	Tool of Destruction 	
Credit.png 4200 	Credits
Jadiz 60 	Jadiz
Enor Pearl 25 	Enor Pearl
	
Credit.png 4300 	Credits
Umanite 30 	Umanite
Enor Pearl 65 	Enor Pearl
	
Credit.png 4350 	Credits
Jadiz 75 	Jadiz
Bismor 30 	Bismor
	
Credit.png 4650 	Credits
Magnite 35 	Magnite
Bismor 75 	Bismor
Icon Skin Trusty Rusty.png 	Trusty Rusty 	
Credit.png 8700 	Credits
Croppa 80 	Croppa
Umanite 160 	Umanite
Bismor 40 	Bismor
	
Credit.png 7650 	Credits
Magnite 55 	Magnite
Enor Pearl 95 	Enor Pearl
Bismor 140 	Bismor
	
Credit.png 8700 	Credits
Magnite 140 	Magnite
Enor Pearl 95 	Enor Pearl
Bismor 60 	Bismor
	
Credit.png 7550 	Credits
Croppa 145 	Croppa
Magnite 50 	Magnite
Bismor 100 	Bismor
Icon Skin Warmonger.png 	Warmonger 	
Credit.png 4050 	Credits
Jadiz 70 	Jadiz
Umanite 30 	Umanite
	
Credit.png 4600 	Credits
Jadiz 25 	Jadiz
Enor Pearl 75 	Enor Pearl
	
Credit.png 4500 	Credits
Enor Pearl 70 	Enor Pearl
Bismor 30 	Bismor
	
Credit.png 4250 	Credits
Magnite 30 	Magnite
Bismor 60 	Bismor
